region_id,association_id,RAS_number,name
1001,800000,RASGPA0333735,Benoni Taxi Association
1001,800002,RASGPA0134385,Birchleigh Oakmoor Taxi Association
1001,800004,RASGPA0333759,Bushbuck Transport Service
1001,800006,RASGPA013429,Daveyton Kempton Park Taxi Association
1001,800008,RASGPA0333764,Ezibeleni Sterkspruit Long Distance Taxi Association
1001,800010,RASGPA0333751,Germiston & Natalspruit Long Distance Taxi Association
1001,800012,RASGPA0333754,Germiston Jane Furse Long Distance Taxi Association
1001,800014,RASGPA0333756,Germiston Pietersburg Long Distance Taxi Association
1001,800016,RASGPA0333779,Greater Alberton Taxi Association
1001,800018,RASGPA0333724,Greater Brakpan Taxi Association
1001,800020,RASGPA0333776,Greater Germiston Taxi Association
1001,800022,RASGPA0333765,Inkanyezi Long Distance Taxi Association
1001,800024,RASGPA0333766,Izizwezomsinga Long Distance Taxi Association
1001,800028,RASGPA0333744,Katlehong Peoples Taxi Association
1001,800032,RASGPA0333767,Lethabong Taxi Association
1001,800036,RASGPA0333756,Nigel Taxi Association
1001,800038,RASGPA0333745,Reiger Park Taxi Association
1001,800040,RASGPA0333749,Springs Long Distance Taxi Association
1001,800042,RASGPA0333736,Springs Taxi Association
1001,800044,RASGPA0333693,Taung Bophirima Long Distance Taxi Association
1001,800046,RASGPA0333772,Tembisa Alexandra Taxi Association
1001,800048,RASGPA0333741,Tembisa Local Taxi Association
1001,800050,RASGPA0333763,Tembisa Long Distance Taxi Association
1001,800052,RASGPA0333768,Tembisa Pretoria Taxi Association
1001,800054,RASGPA0333730,Thaba Bosiu Express Service Taxi Association
1001,800056,RASGPA0333660,Thahameso Ntswanatsatsi Thusanang Taxi Services
1001,800058,RASGPA0333729,Thuthukani Long Distance Taxi Association
1001,800060,RASGPA0333755,Vosloorus & Boksburg District Taxi Association
1001,800062,RASGPA0333734,Zamokuhle Long Distance Taxi Association
1001,800064,RASGPA0333760,Zonkizizwe Taxi Association
1001,800346,RASGPA0134210,RANDFONTEIN TAXI OWNERS ASSOCIATION
1002,800026,RASGPA0333738,Johannesburg Tembisa Taxi Association 
1002,800066,RASGPA0333677,African (Mokorotlo) United Long Distance Taxi Association
1002,800068,RASGPA0134237,Alexandra Randburg Midrand Sandton Local And Long Distance Taxi Association
1002,800070,RASGPA0134236,Alexandra Taxi Association
1002,800072,RASGPA0333679,Balobedu Long Distance Taxi Association
1002,800074,RASGPA0333684,Bambanani Taxi Association
1002,800076,RASGPA0134223,Bara City Taxi Owners Association
1002,800078,RASGPA0134257,Bara Meadowlands Taxi Assoiciation
1002,800080,RASGPA0333717,Bosmont Taxi Association
1002,800082,RASGPA0333683,De Oaks Taxi Association
1002,800084,RASGPA0334284,Diepmeadow City Taxi Owners Association
1002,800086,RASGPA0134231,Dobsonville Rooderpoort Leratong Johannesburg Taxi Association
1002,800088,RASGPA0134258,Ennerdale Taxi Association
1002,800090,RASGPA0333644,Ethembeni Long Distance Taxi Association
1002,800092,RASGPA0134242,Faraday Taxi Association
1002,800094,RASGPA0333666,Gauteng Empangeni Taxi Association
1002,800096,RASGPA0334387,Gauteng Koloni Long Distance Taxi Association
1002,800098,RASGPA0333642,Gauteng Maphumulo Taxi Association
1002,800100,RASGPA0333659,Gauteng Mount Frere Taxi Association
1002,800102,RASGPA0333633,Gauteng Tzaneen Taxi Association 
1002,800104,RASGPA0333701,Giyani Malamulele Johannesburg Ldta
1002,800106,RASGPA0333634,Intuthuko Long Distance Transport Association
1002,800108,RASGPA0333747,Ivory Park Taxi Association
1002,800110,RASGPA0333647,Johannesburg Bara Qwa Qwa Long Distance Taxi Association
1002,800112,RASGPA0333652,Johannesburg Benoni Brakpan Springs Secunda Witbank Taxi Association
1002,800114,RASGPA0134259,Johannesburg Community Taxi Association
1002,800116,RASGPA0333699,Johannesburg Carletonville Westonaria Randfontein Krugersdorp Taxi Association
1002,800118,RASGPA0333732,Intertownship Taxi Association
1002,800120,RASGPA0333662,Johannesburg Kwa-Ndebele Taxi Ass
1002,800122,RASGPA0333662,Johannesburg Kwa-Ndebele Taxi Ass
1002,800124,RASGPA0333651,Johannesburg Minibus Long Distance Transport Association
1002,800126,RASGPA0333657,Johannesburg Msinga Long Distance Taxi Association
1002,800128,RASGPA0333654,Johannesburg Mtubatuba Long Distance Taxi Association
1002,800130,RASGPA0333655,Johannesburg Nelspruit Bush Taxi Association
1002,800132,RASGPA0334316,Johannesburg Northwest Taxi Association
1002,800134,RASGPA0333682,Johannesburg Orange Free State Long Distance Taxi Association
1002,800138,RASGPA0333637,Johannesburg Rustenburg Taxi Association
1002,800140,RASGPA0333738,Johannesburg Tembisa Taxi Association 
1002,800142,RASGPA0134246,Johannesburg Venda Taxi Association
1002,800144,RASGPA0134260,Johannesburg-Vosloorus Taxi Association
1002,800146,RASGPA0134229,Johannesburg Southern Suburbs Transport Services
