city_id,city,lat,lng,country,iso2,admin,capital,population,population_proper
1,Johannesburg,-26.205171,28.049815,South Africa,ZA,Gauteng,admin,3435000,2026469
2,Cape Town,-33.925839,18.423218,South Africa,ZA,Western Cape,primary,3215000,2432858
3,Benoni,-26.190851,28.311338,South Africa,ZA,Gauteng,none,2986000,605344
4,Durban,-29.857896,31.029198,South Africa,ZA,KwaZulu-Natal,none,2729000,2729000
5,Pretoria,-25.706944,28.229444,South Africa,ZA,Gauteng,primary,1338000,1338000
6,Vereeniging,-26.673133,27.926147,South Africa,ZA,Gauteng,none,1074000,474681
7,Port Elizabeth,-33.917988,25.570066,South Africa,ZA,Eastern Cape,none,1021000,640054
8,Pietermaritzburg,-29.616785,30.39278,South Africa,ZA,KwaZulu-Natal,admin,750845,490951
9,Bloemfontein,-29.121065,26.214003,South Africa,ZA,Free State,primary,463064,456669
10,Welkom,-27.986442,26.706612,South Africa,ZA,Free State,none,431944,126079
11,Nelspruit,-25.474482,30.970333,South Africa,ZA,Mpumalanga,admin,348138,21540
12,East London,-33.011051,27.910049,South Africa,ZA,Eastern Cape,none,338627,338627
13,Thohoyandou,-22.945642,30.484972,South Africa,ZA,Limpopo,none,269707,44046
14,Springs,-26.258374,28.47173,South Africa,ZA,Gauteng,none,236083,186394
15,Uitenhage,-33.75757,25.397099,South Africa,ZA,Eastern Cape,none,228912,206766
16,Polokwane,-23.904485,29.468851,South Africa,ZA,Limpopo,admin,220045,123749
17,Paarl,-33.733781,18.975228,South Africa,ZA,Western Cape,none,187865,131718
18,Klerksdorp,-26.852128,26.666719,South Africa,ZA,North West,none,178921,147804
19,George,-33.963,22.461727,South Africa,ZA,Western Cape,none,174582,113248
20,Rustenburg,-25.667562,27.242079,South Africa,ZA,North West,none,165976,124064
21,Kimberley,-28.732262,24.762315,South Africa,ZA,Northern Cape,admin,165264,142089
22,Bhisho,-32.847212,27.442179,South Africa,ZA,Eastern Cape,admin,160997,137287
23,Middelburg 1,-25.775071,29.464821,South Africa,ZA,Mpumalanga,none,154706,93790
24,Vryheid,-27.76952,30.791653,South Africa,ZA,KwaZulu-Natal,none,150012,66717
25,Umtata,-31.588926,28.784431,South Africa,ZA,Eastern Cape,none,137772,78663
26,Worcester,-33.64651,19.448523,South Africa,ZA,Western Cape,none,127597,90803
27,Potchefstroom,-26.716667,27.1,South Africa,ZA,North West,none,123669,83814
28,Brits,-25.634731,27.780224,South Africa,ZA,North West,none,122497,39947
29,Queenstown,-31.897563,26.875329,South Africa,ZA,Eastern Cape,none,105309,87240
30,Mmabatho,-25.85,25.633333,South Africa,ZA,North West,none,104428,76754
31,Kroonstad,-27.65036,27.234879,South Africa,ZA,Free State,none,103992,72835
32,Bethal,-26.457937,29.465534,South Africa,ZA,Mpumalanga,none,101919,90450
33,Grahamstown,-33.304216,26.53276,South Africa,ZA,Eastern Cape,none,91548,49083
34,Bethlehem,-28.230779,28.307071,South Africa,ZA,Free State,none,83654,49092
35,Oudtshoorn,-33.592343,22.205482,South Africa,ZA,Western Cape,none,76708,47998
36,Standerton,-26.933655,29.241518,South Africa,ZA,Mpumalanga,none,74021,18093
37,Upington,-28.447758,21.256121,South Africa,ZA,Northern Cape,none,71373,52799
38,Saldanha,-33.01167,17.944202,South Africa,ZA,Western Cape,none,68284,6654
39,Tzaneen,-23.833222,30.163506,South Africa,ZA,Limpopo,none,67245,16954
40,Knysna,-34.036643,23.049704,South Africa,ZA,Western Cape,none,63106,4668
41,Graaff-Reinet,-32.25,24.55,South Africa,ZA,Eastern Cape,none,62896,3021
42,Port Shepstone,-30.741369,30.454992,South Africa,ZA,KwaZulu-Natal,none,52793,21858
43,Vryburg,-26.956588,24.728403,South Africa,ZA,North West,none,49588,13590
44,Ladysmith,-28.553914,29.782697,South Africa,ZA,KwaZulu-Natal,none,47375,47375
45,Beaufort West,-32.356708,22.582947,South Africa,ZA,Western Cape,none,44737,11404
46,Aliwal North,-30.693664,26.711407,South Africa,ZA,Eastern Cape,none,44436,8410
47,Volksrust,-27.365415,29.881752,South Africa,ZA,Mpumalanga,none,43378,7411
48,Lebowakgomo,-24.2,29.5,South Africa,ZA,Limpopo,none,33308,397
49,Cradock,-32.164221,25.619176,South Africa,ZA,Eastern Cape,none,32898,32898
50,De Aar,-30.649657,24.012295,South Africa,ZA,Northern Cape,none,32318,5021
51,Hermanus,-34.418696,19.234464,South Africa,ZA,Western Cape,none,25153,7396
52,Ulundi,-28.335233,31.416172,South Africa,ZA,KwaZulu-Natal,none,20753,5581
53,Komatipoort,-25.433205,31.954777,South Africa,ZA,Mpumalanga,none,20508,159
54,Messina,-22.351308,30.039597,South Africa,ZA,Limpopo,none,20191,3505
55,Middelburg 2,-31.492849,25.00633,South Africa,ZA,Eastern Cape,none,18164,3764
56,Port Alfred,-33.590572,26.891037,South Africa,ZA,Eastern Cape,none,17959,795
57,Bloemhof,-27.646855,25.606973,South Africa,ZA,North West,none,17122,4203
58,Mossel Bay,-34.183067,22.146048,South Africa,ZA,Western Cape,none,16743,16743
59,Bredasdorp,-34.532154,20.040308,South Africa,ZA,Western Cape,none,14936,1970
60,Swellendam,-34.022624,20.441706,South Africa,ZA,Western Cape,none,13674,4234
61,Colesberg,-30.719994,25.097185,South Africa,ZA,Northern Cape,none,12423,2559
62,Brandfort,-28.700083,26.459684,South Africa,ZA,Free State,none,12091,289
63,Prieska,-29.664088,22.747421,South Africa,ZA,Northern Cape,none,11236,4045
64,Springbok,-29.664336,17.886495,South Africa,ZA,Northern Cape,none,10438,2809
65,Kuruman,-27.452402,23.432456,South Africa,ZA,Northern Cape,none,10006,9093
66,Port Saint John,-31.622911,29.544772,South Africa,ZA,Eastern Cape,none,5939,5939
67,Carnarvon,-30.968266,22.133026,South Africa,ZA,Northern Cape,none,5785,5785
68,Pofadder,-29.128299,19.394915,South Africa,ZA,Northern Cape,none,4220,4220
69,Vanrhynsdorp,-31.608885,18.739679,South Africa,ZA,Western Cape,none,3331,3331
70,Alexander Bay,-28.596078,16.485355,South Africa,ZA,Northern Cape,none,1500,1452
71,Ubombo,-27.563673,32.085699,South Africa,ZA,KwaZulu-Natal,none,564,564
72,Mahikeng,-25.86522,25.644213,South Africa,ZA,North West,admin,0,0
