name,type_id,longitude,latitude,municipality_id
13th London Road,3,28.103732,-26.114235,23
06 Sep,3,28.04998,-26.170946,23
Aeroton Temporary Allocated Taxi Rank,1,27.98157,-26.25676,23
Alberton,1,28.124051,-26.322132,12
Alberton Pick ''N Pay Shopping Centre,1,28.12247,-26.26163,23
Alexandra 15th Avenue Taxi Rank,3,28.086817,-26.109058,23
Alexandra 15th Street Taxi Rank,3,28.101673,-26.104881,23
Alexandra Mall,1,28.116814,-26.106351,23
Alexandra Pan Africa Taxi Rank,1,28.085562,-26.094728,23
Andrew Murray Road (Bryanston),3,27.99571,-26.054479,23
Aspen Lake,3,28.05429,-26.31026,23
Atteridgeville,3,28.07512,-25.76337,23
Atteridgeville Mphalane Main Taxi Rank,1,28.057256,-25.777969,68
Balfour Park,2,28.085538,-26.125659,23
Bara City Taxi Rank,1,27.94209,-26.259871,23
Baragwanath Hospital Main Taxi Rank,1,27.943856,-26.259165,23
Baragwanath Hospital Taxi Rank,1,27.92762,-26.25941,23
Baragwanath Main Taxi Rank,1,27.942771,-26.25927,23
Baragwanath Main Taxi Rank (Johannesburg,1,27.94079,-26.259143,23
Baragwanath Taxi Rank,1,27.942217,-26.259875,23
Bassonia Taxi Rank,2,28.061867,-26.273405,23
Bassonia Temporary Allocated Taxi Rank,2,28.066345,-26.278335,23
Bedford Centre Taxi Rank,1,28.121548,-26.189932,23
Beer Hall Temporary Allocated Taxi Rank,3,27.945383,-26.25158,23
Bekkersdal Main Taxi Rank,1,27.70382,-26.28233,78
Bekkersdal Taxi Rank,1,28.044097,-26.19727,79
Ben Naude Informal Taxi Rank,3,27.946412,-26.247761,23
Ben Naude Temporary Allocated Taxi Rank,3,27.949109,-26.248587,23
Berea Taxi Rank,1,31.020796,-29.844048,9
Bergville Taxi Rank,1,29.354089,-28.729727,2
Biccard (Johannesburg,3,28.045814,-26.200419,23
Biccard Street,3,28.037254,-26.194554,23
Bloemfontein Taxi Rank,3,26.226836,-29.12312,3
Booysens (Industrial),1,28.021025,-26.229102,23
Booysens C (Booysens & Menz,3,28.020579,-26.229227,23
Boskop,3,27.952048,-26.091769,23
Bosmont Main Taxi Rank,1,27.950659,-26.182912,23
Botshabelo Taxi Rank,1,26.70685,-29.231788,4
Braamfischer,3,27.998147,-26.100369,23
Braamfischer phase 3 and 4,3,27.856154,-26.203541,23
Braamfontein Informal Taxi Rank,3,28.03821,-26.20637,23
Bree Street Taxi Rank,1,28.04859,-26.200093,23
Bree Street/ Metro Mall,1,28.037496,-26.201263,23
Bridgetown Main Taxi Rank (c/o Seafarer Pl and Agulhas Road),1,27.970414,-26.022379,23
Bryanston (c/o William Nicol Dr and Grosvenor Rd),1,28.018113,-26.044637,23
Bryanston Drive And Cambridge Road At Morningside,3,28.04615,-26.058301,23
"Bryanston Taxi
Rank",10,28.010653,-26.078331,10
Buhle Park Taxi Rank,3,28.205067,-26.287258,12
C/o Banket and De villiers Street,3,28.052677,-26.197484,23
C/O Buckingham And Jan Smuts,3,28.033176,-26.151609,23
C/O Gerhardus And Susan Str,3,27.973591,-26.0845,23
C/O Gerhardus And Susan Str,3,27.973575,-26.084312,23
C/O Hospital And Kgotso Street,3,28.146719,-26.326593,23
C/O Jules And Heriot Street,3,28.119583,-26.200805,23
C/O Pres Fouche Str And Swazi Rd,2,27.957524,-26.083211,23
"C/O Rifle Range And
Kliprivier Road",3,28.01483,-26.25781,23
C/O Smith And Still Str,3,27.944166,-26.13142,23
"C/O
Hospital And Kgotso Str",2,28.145901,-26.328658,23
Cala Taxi Rank,1,27.696966,-31.52522,5
Caledonspoort Border Post,3,28.235639,-28.692208,7
Cape Town Station,1,18.427202,-33.921837,6
"Carr (Orlando West) (Origin),",3,27.916181,-26.218937,23
Central Western Jabavu Makapane Street Taxi Rank,3,27.879773,-26.252066,23
Centurion,2,28.18403,-25.85818,68
Centurion Mall Taxi Rank,2,28.184449,-25.858501,68
Centurion Taxi Rank,2,28.194034,-25.868023,23
Chiawelo Fananani,3,27.85573,-26.283599,23
Clearwater,3,27.909377,-26.125721,23
Commissioner Street Taxi Rank,3,28.04603,-26.20349,23
Corner Bryanston Drive And Cambridge Road At Morningside,3,28.031015,-26.047631,23
Corner Kruis And Market Street Taxi Rank,3,28.045646,-26.20507,23
Corperate park,3,28.144959,-25.936892,23
Cosmo City,3,27.92397,-26.023136,23
Cosmo City Albany Taxi Rank,3,27.93037,-26.021408,23
Cosmo City Surrounding Areas,3,27.924992,-26.030519,23
Cosmo City Taxi Rank,3,27.9227,-26.00381,23
Craighall,3,28.031546,-26.124684,23
Cresta Shopping Centre Taxi Rank,3,27.972806,-26.131765,23
Croesus,2,27.97151,-26.201181,23
Croesus Taxi Rank,2,27.989456,-26.183566,23
Crouses-Newclare,2,27.965783,-26.18687,23
Cyridene Taxi Rank,3,28.109587,-26.1798,12
Daveyton Taxi Rank,1,28.417039,-26.15244,1
Dawn Park Galahad Rd and Hassink Hwy Taxi Rank,3,28.049602,-26.199206,12
Deipsloot Main Taxi Rank,3,28.01988,-25.94373,23
Delvers St,3,28.04782,-26.20085,23
Devland Taxi Rank,3,27.942059,-26.300296,23
Diepkloof 4 Way Stiop,3,27.951716,-26.236076,23
Diepkloof Beer Hall Taxi Rank,1,27.946496,-26.241496,23
Diepkloof Benya Benya Temporary Allocated Taxi Rank,3,27.943584,-26.234277,23
Diepkloof Benya Informal Taxi Rank,3,27.939215,-26.233345,23
Diepkloof Jack Klipin Informal Taxi Rank,3,27.948086,-26.24315,23
Diepkloof Penneville Noordgesig,3,27.932557,-26.227268,23
Diepkloof Sono Road Informal Taxi Rank,3,27.94006,-26.25014,23
Diepkloof Sono Road Temporary Allocated Taxi Rank,3,27.94967,-26.2429,23
Diepkloof Zone 1 Jazzville Informal Taxi Rank,3,27.940618,-26.235501,23
Diepkloof Zone 1 Jazzville Temporary Allocated Taxi Rank,3,27.943446,-26.238371,23
Diepkloof Zone 2 informal Taxi Rank,3,27.939877,-26.250006,23
Diepkloof Zone 3 J. K. Motors At Mahube Street Informal Rank,3,27.949738,-26.233213,23
Diepkloof Zone 3 Modise Street informal Taxi Rank,3,27.936785,-26.231431,23
Diepkloof Zone 4 Modise O Botse Informal Taxi Rank,3,27.948443,-26.242599,23
Diepkloof Zone 4 Modise O Botse Temporary Allocated Taxi Rank,3,27.952352,-26.240086,23
Diepkloof Zone 5 Mlotheni Street informal Taxi Rank,3,27.948388,-26.248273,23
Diepkloof Zone 5 Mlotheni Street Temporary Allocated Taxi Rank,3,27.950938,-26.250031,23
Diepmeadow Main Taxi Rank,1,27.94866,-26.24837,23
Diepsloot,3,28.022625,-25.922987,23
Diepsloot Main Taxi Rank,3,28.011838,-26.008221,23
Diepsloot Taxi Rank,3,28.01611,-25.93128,23
Dobsonville (Ndingilizi Taxi Rank),3,27.872014,-26.220157,23
Dobsonville (Sunrise),3,27.87062,-26.213259,23
Dobsonville (T-Junction Rank),3,27.847881,-26.224526,23
Dobsonville Clinic,3,27.871836,-26.219372,23
Dobsonville Ext 3,2,27.83909,-26.23069,23
Dobsonville Island Taxi Rank,1,27.870902,-26.158193,23
Dobsonville Island Temporary Allocated Taxi Rank,3,27.813401,-26.23025,23
Dobsonville Local,3,27.83927,-26.228926,23
Dobsonville Police Station,3,27.870973,-26.215222,23
Dobsonville Shopping Complex Taxi Rank,1,27.860969,-26.236966,23
Dobsonville Taxi Rank,1,27.870328,-26.211353,23
Doornkop Extension 1,3,27.807918,-26.239855,23
Doornkop Extension 1 Doornkop Mine,3,27.80722,-26.239371,23
Dube Station,1,27.877861,-26.214335,23
Dube Station Taxi Rank,1,27.892663,-26.235289,23
Dube Station Taxi Rank @ C/O Kumalo,1,27.90111,-26.237271,23
Dundee Taxi Rank,3,30.238317,-28.161417,8
"Dunswart
Station Taxi Rank",1,28.27693,-26.20871,12
East Gate Shopping Centre,1,28.118509,-26.182167,12
Eastbank Temporary Allocated Taxi Rank,3,28.111573,-26.104297,23
Eastgate Mall Taxi Rank,1,28.11902,-26.17918,12
Eastgate Shopping Mall Taxi Rank,1,28.119081,-26.182055,12
Edenvale Taxi Rank,1,28.14295,-26.13592,12
Elandsfontein Taxi Rank,2,28.204717,-26.166483,12
Eldorado Park Shopping Centre Taxi Rank,1,27.905437,-26.293138,23
Ellis Park Taxi Rank,1,28.058115,-26.199627,23
Ellisfontein Taxi Rank,3,28.126121,-26.26607,12
Eloff Street,3,28.044493,-26.209203,23
Embalenhle taxi rank,3,29.075743,-26.532542,61
Emdeni Bus Terminus Taxi Rank,3,27.8183,-26.24727,23
Emdeni Taxi Rank,1,27.818301,-26.247227,23
Empangeni Taxi Rank,1,31.887557,-28.743745,14
Emthonjeni Taxi Rank,1,28.07655,-25.982748,23
End - Jeppe (Destination,1,28.044905,-26.200516,23
End Redruth Street,3,28.122223,-26.261902,23
Enkomeni Taxi Rank,1,28.05786,-26.199395,23
Ennerale Internal,1,27.820082,-26.402613,23
Ennerdale Main Taxi Rank,1,27.864217,-26.416426,23
Ennerdale Main Taxi Rank (Main,1,27.86484,-26.41639,23
Ennerdale Percy and Skeleton Street Taxi Rank,3,27.84132,-26.41674,23
Ennerdale R558 and James Street Taxi Rank,3,27.835425,-26.413474,23
Ennerdale South Taxi Rank,3,27.86315,-26.42482,23
Ennerdale Station Taxi Rank,1,27.854071,-26.414281,23
Evaton Mall,3,27.832136,-26.53718,62
Evaton Masenkeng Taxi Rank,1,27.83213,-26.537136,62
Evaton North  Taxi rank,3,27.858565,-26.505068,62
Extension 10 Orange Farm,3,27.865418,-26.451918,23
Fairland,3,27.949705,-26.144544,23
"Fairlands Police
Station",3,27.936614,-26.144584,23
Faraday,1,28.046533,-26.212108,23
Faraday Taxi Rank,10,28.044188,-26.213222,10
Ficksburg Bridge Taxi Rank,3,27.89037983,-28.88136886,15
Ficksburg Taxi Rank,3,27.889418,-28.882186,15
Finetown Taxi Rank,3,27.857493,-26.41466,23
Fleurhof,3,27.913003,-26.200052,23
Florida Checkers Taxi Rank,3,27.914688,-26.173238,23
Florida Glen Spar Shopping Center,1,27.928377,-26.167788,23
Fochville Taxi Rank,3,27.495577,-26.494347,16
Fordsburg (Central Region),3,28.019375,-26.210955,23
Fordsburg Macro InformalTaxi Rank,3,28.00003,-26.213681,23
Forest Hill,3,28.037155,-26.25173,23
Forest Hill Taxi Rank,3,28.108318,-25.840989,23
Fourways,3,28.009636,-26.016336,23
Fourways Lonehill Shopping Centre Taxi Rank,3,28.010475,-26.016009,23
Fourways Mall Taxi Rank,3,28.006744,-26.016778,23
Fourways Shopping Centre Main Taxi Rank,1,28.01006,-26.01589,23
Fourways Temporary Allocated Taxi Rank (c/o Bushwillow Ave & Richard Rd),3,28.00774,-26.016763,23
Fourways William Nicol Drive Informal Rank,3,28.01049,-26.014228,23
Freedom Park Siyaya Taxi Rank,3,27.941564,-26.300087,23
Freedom Park Taxi Rank,3,27.934739,-26.294395,23
Gallo Manor,3,28.075238,-26.066441,23
Gallo Manor c/o Bowling Ave and Letaba Dr,3,28.073913,-26.065225,23
Gallo Manor Taxi Rank,3,28.089326,-26.056674,23
Germiston Race Course,1,28.160845,-26.216221,23
Germiston Taxi Rank,10,28.168943,-26.212102,10
Glenanda,3,28.03756,-26.27388,23
Granville Avenue,3,28.045938,-26.280452,23
Granville Road,3,28.173379,-26.13248,23
Green Village (Shenza St),3,27.806869,-26.24308,23
Green Village Temporary (Shenza St),3,27.812275,-26.230097,23
Green Village Temporary Allocated Taxi Rank,3,27.806545,-26.237085,23
"Green Village Temporary Allocated Taxi Rank, Load",3,27.80681,-26.24256,23
Greenstone,1,28.154177,-26.118613,23
Greymont,3,27.993537,-26.181769,23
Greytown Taxi Rank,3,30.597124,-29.060667,18
Halfway House,3,28.035597,-26.201546,23
Hammanskraal/ Opanong Main Taxi Rank,3,28.282488,-25.401653,59
Harrismith Taxi rank,1,29.120612,-28.271711,19
Hekroodt (Meadowlands (Zone1-10)),3,27.901702,-26.214862,23
Helen Joseph Hospital,3,27.989859,-26.183387,23
Helen Street (Buccleugh),3,28.10904,-26.05084,23
Highgate Shopping Centre,3,27.957149,-26.20492,23
Highgate Shopping Centre Taxi Rank,3,27.957149,-26.20492,23
Highgate Taxi Rank,3,27.956731,-26.205343,23
Hillfox Shopping Centre Taxi Rank,3,27.922238,-26.145239,68
Hluhluwe Taxi Rank,1,32.270503,-28.019569,20
Honeydew,3,27.907307,-26.053141,23
Honeydew & Swartkop,3,27.936702,-26.089183,23
Honeydew Taxi Rank,3,27.93139,-26.08297,23
Honeydew Taxi Rank (c/o Beyers Naude Dr and Honeydew Rd West),3,27.907545,-26.052103,23
