region_id,association_id,route_id,origin,via,destination
1001,800000,700000,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700002,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700004,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700006,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700008,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700010,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700012,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700014,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700016,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700018,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700020,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700022,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700024,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700026,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700028,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700030,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700032,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700034,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700036,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700038,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700040,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700042,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700044,Lakeside Taxi Rank,Brits,Dungeni Street
1001,800000,700046,Lakeside Taxi Rank,Mathewson Street,Eiselen Street Temporary Allocated Taxi Rank
1001,800000,700048,Lakeside Taxi Rank,Rhamza Street,Eiselen Street Temporary Allocated Taxi Rank
1001,800000,700050,Lakeside Taxi Rank,Gija Street,Eiselen Street Temporary Allocated Taxi Rank
1001,800000,700052,Lakeside Taxi Rank,Heald Street,Eiselen Street Temporary Allocated Taxi Rank
1001,800000,700054,Lakeside Taxi Rank,Totius Street,Eiselen Street Temporary Allocated Taxi Rank
1001,800000,700056,Seyiso & Eiselen Temporary Allocated Taxi Rank,New Modder Road,"Corner Of Liverpool, Birnmingham & Reading Street"
1001,800000,700058,Etwatwa East Lasvegas Taxi Rank,Tom Jones,Hospital Road Taxi Rank (Farameyer)
1001,800000,700060,Barcelona Taxi Rank,Bayley Street,Hospital Road Taxi Rank
1001,800000,700062,Etwatwa East Lasvegas Taxi Rank,Hannekom Street,Hospital Road Taxi Rank
1001,800000,700064,Etwatwa West Taxi Rank,O’Llerymeil Street,Hospital Road Taxi Rank
1001,800000,700066,Etwatwa East Lasvegas Taxi Rank,Atlas Road,Dunswart Station Taxi Rank
1001,800000,700068,Etwatwa West Taxi Rank,Great North Road,Hospital Road Taxi Rank
1001,800000,700070,Daveyton Central Taxi Rank,Mercury Street,Farameyer Hospital Road Taxi Rank
1001,800000,700072,Lakeside Taxi Rank,Hannekom Street,Northmead Taxi Rank
1001,800000,700074,Lakeside Taxi Rank,Fifth Street,Bp Garage Temporary Allocated Taxi Rank
1001,800000,700076,Etwatwa West Taxi Rank,Amphill Road,"Benoni Traffic Circle Corner Of Liverpool, Birnmingham & Reading Street"
1001,800000,700078,Etwatwa West Taxi Rank,Tom Jones,"Corner Of Liverpool, Birnmingham & Reading Street"
1001,800000,700080,Las Vegas Taxi Rank,Hollfontein Road,(Etwatwa) - Atlas Taxi Rank
1001,800000,700082,Daveyton Main Taxi Rank,"R25 Bapsfontein Road,",Mamelodi Denneboom Taxi Rank
1001,800000,700084,Northmead Mall Taxi Rank,Sigalo Street,Daveyton Main Taxi Rank
1001,800000,700086,Daveyton Main Taxi Rank,Fourth Avenue,Springs Station Taxi Rank
1001,800000,700088,Dunswart Station Taxi Rank,Lancaster Street,Kingsway Taxi Rank
1001,800000,700090,Actonville Circle Taxi Rank,Main Reef Road,Kingsway Taxi Rank
1001,800000,700092,Apex Industrial Temporary Allocated Taxi Rank,De Troit Road,Kingsway Taxi Rank
1001,800000,700094,Barcelona Taxi Rank,Pretoria Road,Rynfield Temporary Allocated Taxi Rank
1001,800000,700096,Daveyton Main Taxi Rank,Birch Road,Pretoria Long Distance Tax Rank
1001,800000,700098,Daveyton Central Taxi Rank,Eiselen Street,Etwatwa East Lasvegas Taxi Rank
1001,800000,700100,Danswart Junction Taxi Rank,London Road,Alexandra Taxi Rank
1001,800000,700102,Daveyton Squere Taxi Rank,N3,Randburg Taxi Rank
1001,800000,700104,Daveyton Square Taxi Rank,Old Pretoria Road,Midrand Taxi Rank
1001,800000,700106,Daveyton Squere Taxi Rank,Marlboro Drive,Woodmead Taxi Rank
1001,800000,700108,Daveyton Square Taxi Rank,Marlboro Drive,Sandton Taxi Rank
1001,800000,700110,Daveyton Square Taxi Rank,Kings Way Street,Alexandra Main Taxi Rank
1001,800000,700112,Benoni Station Taxi Rank,Groblesdal,Jane Furse Taxi Rank(Ngwaritsi)
1001,800000,700114,Benoni Station Taxi Rank,Bapsfontein Road,Kwamhlanga Taxi Rank
1001,800000,700116,Daveyton Central (Daveyton Central),"Ventersburg,Wynburg,Bloemfontein",Umtata Main Rank
1001,800000,700118,Daveyton Central (Daveyton Central),"Heidelburg,Villiers,Warden",Umtata Main Rank
1001,800000,700120,Benoni Station Taxi Rank,"Naboomspruit,Potgietersrus",Polokwane Indian Centre Taxi Rank
1001,800000,700122,Benoni Station Taxi Rank,Great North,Leporogong(Lebowakgomo)
1001,800000,700124,Daveyton Cbd Taxi Rank,N12 Witbank,Burgersfort Taxi Rank
1001,800000,700126,Daveyton Cbd Taxi Rank,,Bushbuckridge Taxi Rank
1001,800000,700128,Dunswart Station Taxi Rank,Bronkhorstpruit,Dennilton Taxi Rank
1001,800000,700130,Benoni Station Taxi Rank,Bethal N17,Piet Retief Taxi Rank
1001,800000,700132,Daveyton Cbd Taxi Rank,Paul Kruger Road,Ermelo Taxi Rank
1001,800000,700134,Daveyton Cbd Taxi Rank,"Riedersburg,Smithfield,Rouxville",King Williamstown Taxi Rank
1001,800000,700136,Benoni Station Taxi Rank,Dr. Nelson Mandela Drive,Vryheid Taxi Rank
1001,800000,700138,Dunswart Station Taxi Rank,Snake Road,Siyabuswa Taxi Rank
1001,800000,700140,Benoni Station Taxi Rank,Bronkhorspruit,Groblersdal Taxi Rank
1001,800000,700142,Daveyton Main Taxi Rank,N4 Via Middleburg To Belfast,Matibidi Taxi Rank Graskop
1001,800002,700144,Village Corner Zuurfontein Road And Orange River Road Temporary Allocated Taxi Rank,Krombek Street,Esselen Park Temporary Allocated Taxi Rank
1001,800002,700146,Oakmoor East Taxi Rank,Pretoria Road,Kempton Park Main Taxi Rank
1001,800002,700148,Oakmoor East Taxi Rank,Dann Road,Kempton Park Main Taxi Rank
1001,800002,700150,Birchleigh Station (Lay-Bey),Corner Quinine Street & Monument Street,Birchleigh Station (Lay-Bey)
1001,800002,700152,Bircheigh Station (Lay-Bey),Monument Road,Bircheigh Station (Lay-Bey)
1001,800002,700154,Oakmoor East Taxi Rank,High Road,Benoni Station Taxi Rank
1001,800002,700156,Oakmoor East Taxi Rank,High Road,Benoni Station Taxi Rank
1001,800002,700158,Oakmoor East Taxi Rank,Birch Road,Daveyton Main Taxi Rank
1001,800002,700160,Oakmoor East Taxi Rank,Birch Road,Daveyton Main Taxi Rank
1001,800002,700162,Oakmoor East Taxi Rank,R50-R555,Daveyton Main Taxi Rank
1001,800002,700164,Village Corner Zuurfontein Road And Orange River Road Temporary Allocated Taxi Rank,Pongola River Drive,Birchleigh Taxi Rank
1001,800002,700166,Oakmoor East Taxi Rank,25,Bapsfontein Corner M44 And R50 Next To Bp Garage
1001,800002,700168,Oakmoor East Taxi Rank,25,Bronkhourspruit Taxi Rank
1001,800002,700170,Oakmoor East Taxi Rank,N4,Witbank
1001,800002,700172,Village Corner Zuurfontein Road And Orange River Road Temporary Allocated Taxi Rank,Pretoria Road,Kaalfontein Railway Station Temporary Allocated Taxi Rank
1001,800002,700174,Village Corner Zuurfontein Road And Orange River Road Temporary Allocated Taxi Rank,Krombek Street,Esselen Park Temporary Allocated Taxi Rank
1001,800002,700176,Birch Acres Mall Taxi Rank,21,Bosman (Daspoort)
1001,800002,700178,Birch Acres Mall Taxi Rank,N3,Noord Taxi Rank
1001,800002,700180,Kaalfontein Station Main Taxi Rank,Mookgophong,Bochum
1001,800002,700182,Kaalfontein Station Main Taxi Rank,Mookgophong On R101 Rd,Bochum
1001,800002,700184,Kaalfontein Station Main Taxi,Melkrivier,Bochum
1001,800002,700186,Birchleigh Taxi Rank,Piet Mevrou Street,Village Corner Zuurfontein Road And Orange Road Temporary Allocated Taxi Rank
1001,800002,700188,Kaalfontein Station Main Taxi Rank,Mookgophong On R101 Rd,Bochum
1001,800002,700190,Birch Acres Mall Taxi Rank,Mookgophong On R101,Bochum
1001,800002,700192,Kaalfontein/ Essellen Park Sibasa Taxi Rank,M81 To Louis Trichardt,Sibasa
1001,800002,700194,Kaalfontein Station Main Taxi Rank,Grobler Street (Polokwane),Malamulele
1001,800002,700196,Kaalfontein Station Main Taxi Rank,Ga- Maja/ Ga-Chuene,Boyne Taxi Rank.
1001,800002,700198,Kaalfontein Station Main Taxi Rank,Mookgophong On R101,Polokwane Indian Centre Taxi Rank
1001,800002,700200,Birchleigh Taxi Rank,Lydia Street,Village Corner Zuurfontein Road And Oranger River Road Temporary Rank
1001,800002,700202,Birchleigh Taxi Rank,Pongola River Drive,Village Corner Zuurfontein Road And Orange River Road Temporary Allocated Taxi Rank
1001,800002,700204,Norkem Park Shopping Centre Temporary Allocated Taxi Rank,Isimuku Street,Kempton City Temporary Allocated Taxi Rank
1001,800002,700206,Van Riebeeck Park Station Temporary Allocated Taxi Rank,Bontebok Avenue,Village Taxi Rank
1001,800002,700208,Van Riebeeck Park Station Temporary Allocated Taxi Rank,Rienert Avenue,Village Taxi Rank
1001,800002,700210,Village Zuurfontein Road And Orange River Road Temporary Allocated Taxi Rank,Festival Mall,Kempton City Temporary Allocated Taxi Rank
1001,800002,700212,Village Corner Zuurfontein Road And Orange River Road Temporary Allocated Taxi Rank,Pretoria Road,Kaalfontein Railway Station Temporary Allocated Taxi Rank
1001,800004,700214,Germiston Main Taxi Rank,Paul Kruger Road,Bushbuck Ridge Telkom Taxi Rank
