district_id,region_id,district_code,gauteng_reference_number,emis_number,institution_name,inst_level_budgetary_requirements,level_id,data_year,type_of_institution_id,relation_with_state,sector_id,circuit_no,cluster_no,quintile,no_fee,street_number,street_name,township_village,suburb,town_city_id,telephone,email,sub_place_name,main_place_name,metropolitan_municipality_id,local_municipality_id,ward_number,latitude,longitude,pre_grade_r,pre_grade_r_classes,grade_r,grade_r_classes,grade_1,grade_1_classes,grade_2,grade_2_classes,grade_3,grade_3_classes,grade_4,grade_4_classes,grade_5,grade_5_classes,grade_6,grade_6_classes,grade_7,grade_7_classes,grade_8,grade_8_classes,grade_9,grade_9_classes,grade_10,grade_10_classes,grade_11,grade_11_classes,grade_12,grade12_classes,special,special_classes,other,other_classes,total_learners,total_classes,paid_by_sgb_educators,paid_by _state_educators,total_educators,admin_staff,support_staff,professional_non_teaching_staff
1,1001,EN,310045,700310045,ACTONVILLE PRIMARY SCHOOL,PRI,1,2020,1,PUBLIC,1,2,1,5,NO,1272,KAROLIA STREET,ACTONVILLE,BENONI,3,114211284,vanessa.moodley@gauteng.gov.za,ACTONVILLE,BENONI,1,10001,29,-26.21701873,28.30088914,0,0,105,3,167,4,196,4,187,4,173,4,184,4,175,4,152,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339,31,6,26,32,8,0,0
1,1001,EN,311704,700311704,ACTONVILLE TRAINING CENTRE,NA,4,2020,2,PUBLIC,1,2,2,0,NO,1,CNR MC ALPINE ROAD AND MODDERBEE STR,RYNSOORD,BENONI,3,114232411,joyce.mthombeni@gauteng.gov.za,NEW MODDER,BENONI,1,10001,73,-26.18946546,28.35597577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,32,468,32,3,44,47,6,24,1
1,1001,EN,400393,700400393,ALBERTINA SISULU PRIMARY SCHOOL,PRI,1,2020,1,PUBLIC,1,2,2,1,YES,1250,SIBUSISO,KINGSWAY,BENONI,3,114233371,simphiwe.dywili@gauteng.gov.za,KINGSWAY,SPRINGS,1,10001,73,-26.18659,28.39132,0,0,83,4,201,4,170,4,168,5,197,4,191,4,170,3,147,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,31,1,37,38,2,5,0
1,1001,EN,310128,700310128,ARBOR PRIMARY SCHOOL,PRI,1,2020,1,PUBLIC,1,2,3,5,NO,1,ASH STREET,NORTHMEAD EXT 4,0,3,118494227,Patrick.Arentsen@gauteng.gov.za,NORTHMEAD,BENONI,1,10001,27,-26.15320828,28.30499939,0,0,0,0,161,5,161,5,147,5,156,5,169,5,152,5,141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,35,19,24,43,7,12,0
1,1001,EN,260018,700260018,ASTON MANOR PRIMARY SCHOOL,PRI,1,2020,1,PUBLIC,1,3,2,5,NO,223,ELAND ROAD,ASTON MANOR,0,75,119702171,Leslie.Steenkamp@gauteng.gov.za,NIMROD PARK,KEMPTON PARK,1,10001,16,-26.08760203,28.24073659,0,0,61,3,134,4,124,4,118,4,118,3,123,3,119,3,109,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,27,16,11,27,27,0,0
1,1001,EN,160184,700160184,BEDFORDVIEW HIGH SCHOOL,SEC,2,2020,1,PUBLIC,1,1,1,5,NO,1,HEALEY ROAD,BEDFORDVIEW,GERMISTON,1,116165220,collins.chisudi@gauteng.gov.za,BEDFORDVIEW,GERMISTON,1,10001,20,-26.195706,28.12795354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,6,255,6,218,5,142,3,122,3,0,0,0,0,1001,23,3,26,29,3,1,0
1,1001,EN,160200,700160200,BEDFORDVIEW PRIMARY SCHOOL,PRI,1,2020,1,PUBLIC,1,1,1,5,NO,2,SCHOOL RD,BEDFORDVIEW,BEDFORDVIEW,74,114554700,gregory.bryant@gauteng.go.za,BEDFORDVIEW,GERMISTON,1,10001,20,-26.1792232,28.13944401,0,0,51,3,139,4,140,4,144,4,135,4,135,4,139,4,132,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,31,18,24,42,42,0,0
1,1001,EN,211276,700211276,BEKEKAYO PRIMARY FARM SCHOOL,PRI,1,2020,1,PUBLIC,1,4,2,1,YES,25,OLD  PRETORIA ROAD BAPSFONTEIN,BAPSFONTEIN,BENONI,3,828121600,Elijah.thobela@gauteng.gov.za,EKURHULENI NU,EKURHULENI NU,1,10001,25,-26.02248602,28.40997693,0,0,0,0,19,1,18,1,22,1,21,1,22,1,17,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,7,0,10,10,1,2,0
1,1001,EN,310144,700310144,BELVEDERESKOOL,NA,4,2020,2,PUBLIC,1,2,2,0,NO,8,UYS KRIGE,FARRARMERE,BENONI,3,118494131,Johan.Duplessis@gauteng.gov.za,FARRARMERE,BENONI,1,10001,28,-26.16236364,28.30023717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,107,6,114,6,122,8,74,4,35,2,25,2,0,0,93,8,598,40,6,48,54,7,9,0
1,1001,EN,310151,700310151,BENONI HIGH SCHOOL,SEC,2,2020,1,PUBLIC,1,2,3,5,NO,1,DALRYMPLE,NORTHMEAD,BENONI,3,118494129,jacubus.cenorio@gauteng.gov.za,NORTHMEAD,BENONI,1,10001,27,-26.15850041,28.31805381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,10,277,10,299,10,297,10,286,10,0,0,0,0,1441,50,34,44,78,13,17,0
1,1001,EN,310177,700310177,BENONI JUNIOR SCHOOL,PRI,1,2020,1,PUBLIC,1,2,2,5,NO,1,DERBY AVENUE,WETERN EXTENSION,BENONI,3,114213651,Pranisha.Mansigh@Gauteng.gov.za,BENONI SP,BENONI,1,10001,73,-26.18655883,28.30121804,0,0,87,3,225,6,244,7,235,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,791,27,9,24,33,20,0,0
